spu_code,buyer,DE,ES,FR,IT,GB,US,MX
S230328000345,张天一,1729492225734384279,1729492225361615511,1729492221282523799,1729492225765776023,1729399839594876619,1729388308289720983,1731760942566378135
S230418000504,张天一,1729588958973958996,1729588959220243284,1729588959222340436,1729588958976056148,1729399840190467787,1729386005411107668,1731841041833297748
S230427000451,魏冰馨,1729508014217009286,1729508015110461574,1729508014843861126,1729508014664554630,1729399940751593163,1729385967656145030,1731772624591947910
S230519000407,张健,1729493537065835164,1729493537829264028,1729493537549097628,1729493536442456732,1729399917485395659,1729385967787872924,
S230524000643,范文,1729692040829180011,1729692043554756715,1729692040600393835,1729692043252832363,1729399889999531723,1729386192555708523,1731766803428444267
S230525001275,范文,1729480975769114731,1729480979009345643,1729480975760070763,1729480975461423211,1729399938813169355,1729386191780352107,1731790806251243627
S230526001086,范文,1729697837969152107,1729697836528408683,1729697836638312555,1729697837978065003,1729399889394110155,1729386195916263531,1731767182350125163
S230526001147,范文,1729691159129528427,1729691163825248363,1729691159081293931,1729691158963722347,1729399932053458635,1729386191538655339,1731767574736242795
S230530000049,张天一,1729495216394902146,1729494779667192450,1729495217169930882,1729495216840612482,1729400005342432971,1729385967677575810,1731143742068852354
S230530000382,张宇,1729498376363416248,1729498382933400248,1729498376393956024,1729498367520185016,1729400029375794891,1729386006944584376,1733399164432123576
S230531000432,徐熙雅,1729504517738764365,1729504517767272525,1729504516712601677,1729645356969793613,1729399945301954251,1729868790991523917,1736028899674063949
S230531001585,范文,1729694633613564011,1729694635958769771,1729694635763996779,1729694635694135403,1729399939137375947,1729386149527326827,1736101415829275755
S230603001426,任思宁,1729507006022392316,1729507003759892988,1729507006467971580,1729507005893810684,1729399948696981195,1729386004423873020,1731758405418453500
S230610000881,徐熙雅,1729762833844705300,1729762835040933908,1729762833783232532,1729762833817049108,1729400136351256267,1729868780774592532,
S230613001429,吴斐,1729492653137500314,1729492649686505626,1729492653217650842,1729492648095160474,1729400011852254923,1729386029486543002,1732932396081185946
S230613007196,王可心,1729496628437031573,1729496628549687957,1729496628450663061,1729496628449548949,1729400674394607253,1729399393893913237,1731797643561568917
S230616003186,陈家琪,1729485667550075185,1729485665782962481,1729485668488288561,1729485667937261873,1729401018003590449,1729401500590182705,1732133513323776305
S230616004230,徐熙雅,1729492915648502065,1729492915622091057,1729492916334467377,1729492914497558833,1729400057664409291,1729868789810893105,1736017883515815217
