数据日期,原始国家,市场组,商品标签,product_id,spu_code,店铺名称,SKM标签,二级类目,三级类目,叶子类目,类目组合,历史累计销量区间,大盘营销价-美金,近7天出单区间,近3天环比增速,近3天环比标签,T-1出单区间,全球首次上架日期,上架天数,JIT标签,实际可售库存,JIT虚拟库存,颜色,颜色数,尺码,尺码数,季节标签,首图链接,商品详情页URL,开发员名称,Final SPS,场域_短视频占比,场域_直播占比,场域_货架占比
2026/8/25,FR,EU4,新品,1729897016104557303,S260815006419,FlaireX,非SKM商家,标码女装,女士套装及西服,长裤套装,标码女装+女士套装及西服,"(0,100]",38.15,"(30,50]",20.00%,"(0%, 50%]","(0,10]",2026/8/19,6,非JIT商品,211,0,"Black,Army green,Apricot,Light blue",4,"S,L,M,XL",4,Spring&Fall,https://p16-oec-va.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/5a7a46056ce34bdfadf4d72b1c2f8c83~tplv-o3syd03w52-resize-jpeg:1000:1000.image?,https://shop.tiktok.com/view/product/1729897016104557303?region=FR&locale=fr,刘雪莹,4.1,0,97,3
2026/8/25,FR,EU4,新品,1729878734627051895,S260722031982,brandy girls,非SKM商家,标码女装,女士下装,长裤,标码女装+女士下装,"(0,100]",30.58,"(10,30]",-93.33%,负增长,"(0,10]",2026/7/22,34,JIT商品,56,790,"Black,Brown,Fawn brown,White,Green",5,"XS,L,S,M,XL",5,Spring&Fall,https://p16-oec-va.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/3603c8ab027a44a8981d06e0bd72d2d6~tplv-o3syd03w52-resize-jpeg:1000:1000.image?,https://shop.tiktok.com/view/product/1729878734627051895?region=FR&locale=fr,王瑶,,0,0,100
2026/8/25,FR,EU4,新品,1729877290223639550,S260720039762,Ailyak knit,非SKM商家,标码女装,女士针织衫,毛织裙子套装,标码女装+女士针织衫,"(0,100]",33.69,"(10,30]",100.00%,"(50%, 100%]","(0,10]",2026/7/20,36,非JIT商品,"2,412",50,"Light gray,Black,Army green,Gray,Silver,Dark blue,Apricot,Pink,Maroon,Yellow,Lemon yellow,Brown,Red Coffee,Chocolate color",14,"L,XXL,M,XS,S,XL",6,Spring&Fall,https://p16-oec-va.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/5b332a630e8647499d4849bbbad5adab~tplv-o3syd03w52-resize-jpeg:1000:1000.image?,https://shop.tiktok.com/view/product/1729877290223639550?region=FR&locale=fr,沈亦莎,4.9,0,8,92
2026/8/25,FR,EU4,新品,1729877447360683006,S260720039600,Ailyak knit,非SKM商家,标码女装,女士针织衫,毛织裙子套装,标码女装+女士针织衫,"(0,100]",47.66,"(0,10]",-50.00%,负增长,"(0,10]",2026/7/21,35,非JIT商品,125,0,"Apricot,Black,Coffee brown,Red",4,"S,L,XL,M,XXL",5,Spring&Fall,https://p16-oec-va.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/5e9919655244424fbd3f20d0fd490f31~tplv-o3syd03w52-resize-jpeg:1000:1000.image?,https://shop.tiktok.com/view/product/1729877447360683006?region=FR&locale=fr,沈亦莎,4.9,0,0,100
2026/8/25,FR,EU4,新品,1729878940488604113,S260722039435,Bargain Stylish,非SKM商家,标码女装,女士针织衫,开衫,标码女装+女士针织衫,"(0,100]",33.09,"(0,10]",-100.00%,负增长,"(0,10]",2026/7/22,34,JIT商品,9,"5,369","Khaki gray,Purple,Royal blue,Brown,Orange,Red,Lilac,Gray,Pink,Cream,Green,Black,Burgundy,Sky blue",14,"L,XL,S,XS,M",5,Spring&Fall,https://p16-oec-va.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/2360067ae50548aebd90cfb0f4e4829e~tplv-o3syd03w52-resize-jpeg:1000:1000.image?,https://shop.tiktok.com/view/product/1729878940488604113?region=FR&locale=fr,沈亦莎,,0,100,0
2026/8/25,FR,EU4,新品,1729870964954536469,S260711033750,Chic Materialist,非SKM商家,标码女装,女士下装,长裤,标码女装+女士下装,"(0,100]",27.23,"(0,10]",-100.00%,负增长,"(0,10]",2026/7/12,44,JIT商品,1,"2,242","Bright yellow,Navy blue,Apricot,Black,Light wash,Red",6,"L,M,S,XL",4,Spring&Fall,https://p16-oec-va.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/c1abea2da27e4357a84d4bcaf1c8b09a~tplv-o3syd03w52-resize-jpeg:1000:1000.image?,https://shop.tiktok.com/view/product/1729870964954536469?region=FR&locale=fr,张健,4.5,0,0,100
2026/8/25,FR,EU4,新品,1729890411061746423,S260807028796,FlaireX,非SKM商家,标码女装,女士套装及西服,长裤套装,标码女装+女士套装及西服,"(0,100]",38.47,"(0,10]",-100.00%,负增长,"(0,10]",2026/8/9,16,非JIT商品,274,0,"Blue,Pink,Army green,Orange",4,"XL,L,S,M",4,Summer,https://p16-oec-va.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/40867737187043698573f7ba0bceffc9~tplv-o3syd03w52-resize-jpeg:1000:1000.image?,https://shop.tiktok.com/view/product/1729890411061746423?region=FR&locale=fr,刘雪莹,4.1,0,80,20
2026/8/25,FR,EU4,新品,1729883376073021765,S260729039678,YouAnnn,非SKM商家,标码女装,女士针织衫,毛衣套头衫,标码女装+女士针织衫,"(0,100]",26.58,"(0,10]",-100.00%,负增长,"(0,10]",2026/8/6,19,非JIT商品,552,0,"Green,Pink,Black,Blue,Gray,Apricot,White",7,"M,S,XL,L,XXL",5,Spring&Fall,https://p16-oec-va.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/d41349e23744433bbe1f20bb5d296299~tplv-o3syd03w52-resize-jpeg:1000:1000.image?,https://shop.tiktok.com/view/product/1729883376073021765?region=FR&locale=fr,沈亦莎,4.1,0,0,100
2026/8/25,FR,EU4,新品,1729892693625772402,S260811023862,Lune et Mer,非SKM商家,标码女装,女士套装及西服,女士西装外套,标码女装+女士套装及西服,"(0,100]",36.43,"(0,10]",-66.67%,负增长,"(0,10]",2026/8/12,13,JIT商品,0,476,"Black,Yellow,Apricot,Blue",4,"L,M,XL,S",4,Spring&Fall,https://p16-oec-va.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/512f921dd6f44126961f4466f5f39bed~tplv-o3syd03w52-resize-jpeg:1000:1000.image?,https://shop.tiktok.com/view/product/1729892693625772402?region=FR&locale=fr,刘雪莹,3.3,0,75,25
2026/8/25,DE,EU4,新品,1729897036748659447,S260815006419,FlaireX,非SKM商家,标码女装,女士套装及西服,长裤套装,标码女装+女士套装及西服,"(0,100]",40.93,"(0,10]",,新增动销,"(0,10]",2026/8/19,6,非JIT商品,211,0,"Black,Army green,Apricot,Light blue",4,"S,L,M,XL",4,Spring&Fall,https://p16-oec-va.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/5a7a46056ce34bdfadf4d72b1c2f8c83~tplv-o3syd03w52-resize-jpeg:1000:1000.image?,https://shop.tiktok.com/view/product/1729897036748659447?region=DE&locale=de,刘雪莹,4.1,0,0,100
