数据日期,原始国家,市场组,商品标签,product_id,spu_code,店铺名称,SKM标签,二级类目,三级类目,叶子类目,类目组合,历史累计销量区间,大盘营销价-美金,近7天出单区间,近3天环比增速,近3天环比标签,T-1出单区间,全球首次上架日期,上架天数,JIT标签,实际可售库存,JIT虚拟库存,颜色,颜色数,尺码,尺码数,季节标签,首图链接,商品详情页URL,开发员名称,Final SPS,场域_短视频占比,场域_直播占比,场域_货架占比,入池日期
2026/9/7,MX,MX,高动销,1734513356644844710,S260304038312,Agivvia,非SKM商家,标码女装,女士针织衫,毛衣马甲,标码女装+女士针织衫,"(2000,5000]",15.30,"(100,+∞)",2.64%,"(0%, 50%]","(10,30]",2026/3/14,177,非JIT商品,"1,070",0,"Khaki,Coffee brown,Black,Gray,Burgundy",5,"M,L,S,XL,XS",5,Fall&Winter,https://p16-oec-va.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/1142bdaf68b0456b87035ae1e8e66c59~tplv-o3syd03w52-resize-jpeg:1000:1000.image?,https://shop.tiktok.com/view/product/1734513356644844710?region=MX&locale=es,王可心,4.4,33,44,23,2026/9/9
2026/9/7,GB,UK,高动销,1729402132633718507,S231104000432,Bettlity,非SKM商家,标码女装,女士针织衫,毛衣套头衫,标码女装+女士针织衫,"(10000,+∞)",16.95,"(100,+∞)",-20.66%,负增长,"(200,500]",2023/11/15,"1,027",非JIT商品,"3,820",0,"Pink*1 pc+Burgundy*1 pc,Army Green*1 pc+Mint Green*1 pc,Dark gray,Black,Burgundy,Mint green,Pink,Royal blue,Burgundy*1 pc+Army Green*1 pc,Dark Gray*1 pc+Dark Green*1 pc,Mauve purple,Army green,Light green,Dark Gray*1 pc+Black*1 pc,Khaki,Dark Gray*1 pc+Burgundy*1 pc,Army Green*1 pc+Dark Green*1 pc,Dark green",18,"L,S,M,XL,XXL,XS",6,Fall&Winter,https://p16-oec-va.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/8c3061a96ced4ed0aeb5abc8d84d795f~tplv-o3syd03w52-resize-jpeg:1000:1000.image?,https://shop.tiktok.com/view/product/1729402132633718507?region=GB&locale=en,沈亦莎,4.9,81,0,19,2026/9/9
2026/9/7,GB,UK,高动销,1729445895122881778,S241213008988,Morrie Moon,非SKM商家,标码女装,女士针织衫,开衫,标码女装+女士针织衫,"(10000,+∞)",24.22,"(100,+∞)",-3.80%,负增长,"(200,500]",2024/12/24,622,非JIT商品,"1,618",0,"Mocha brown,Brown,Baby pink,Khaki,Grey,Royal blue,Army green,Orange,Cream,Black,Burgundy,Light green,Navy blue",13,"XXL,M,S,XL,L",5,All Seasons,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/d40b4dd2e505486d818e79b813f1aa27~tplv-o3syd03w52-resize-jpeg:1000:1000.image?,https://shop.tiktok.com/view/product/1729445895122881778?region=GB&locale=en,王可心,4.8,77,0,23,2026/9/9
2026/9/7,GB,UK,高动销,1729880358852926252,S260724035442,Design Darling,非SKM商家,标码女装,女士针织衫,开衫,标码女装+女士针织衫,"(1000,2000]",32.90,"(100,+∞)",-19.18%,负增长,"(50,100]",2026/7/24,45,非JIT商品,402,0,"Cream,Coffee brown,Apricot",3,"S,L,XL,M,XXL",5,Fall&Winter,https://p16-oec-va.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/6347c57a7bd1409894e2cf0e623d1161~tplv-o3syd03w52-resize-jpeg:1000:1000.image?,https://shop.tiktok.com/view/product/1729880358852926252?region=GB&locale=en,沈亦莎,4.6,88,0,12,2026/9/9
2026/9/7,GB,UK,高动销,1729430888265452826,S241022004269,LILYTREE,非SKM商家,标码女装,女士针织衫,毛衣套头衫,标码女装+女士针织衫,"(10000,+∞)",18.08,"(100,+∞)",9.84%,"(0%, 50%]","(50,100]",2024/10/25,682,非JIT商品,"1,366",0,"Lime red,Off white,Cream,Green,Deep red,Black,Rust orange,Grey,Chartreuse,Salmon pink",10,"L,M,S,XL",4,All Seasons,https://p16-oec-eu-common-no.tiktokcdn-eu.com/tos-no1a-i-t5fjg24jzw-no/e67f5438736a4964b9c02608a2a3e098~tplv-t5fjg24jzw-resize-jpeg:1000:1000.image?,https://shop.tiktok.com/view/product/1729430888265452826?region=GB&locale=en,沈亦莎,4.4,64,0,36,2026/9/9
2026/9/7,GB,UK,高动销,1729409154795605266,S240508006159,Hiying,非SKM商家,标码女装,女士针织衫,毛衣套头衫,标码女装+女士针织衫,"(10000,+∞)",18.26,"(100,+∞)",-44.49%,负增长,"(30,50]",2024/5/17,843,非JIT商品,"1,035",0,"Baby pink,Rust orange,Khaki,Army Green*1 pc+Rust Red*1 pc,Bright yellow,Rust red,Army green,Khaki&Navy Blue&Light Gray*1 pc,Navy Blue*1 pc+Light Gray*1 pc,Navy blue,Pebble lime",11,"M,L,XL,XXL,S",5,Spring&Fall,https://p16-oec-eu-common-no.tiktokcdn-eu.com/tos-no1a-i-t5fjg24jzw-no/acba7a90d96f420196a1a9d1aa67af14~tplv-t5fjg24jzw-resize-jpeg:1000:1000.image?,https://shop.tiktok.com/view/product/1729409154795605266?region=GB&locale=en,沈亦莎,4.4,58,0,42,2026/9/9
2026/9/7,GB,UK,高动销,1729422224249884495,S240705001676,URBANECHIC Sweater,非SKM商家,大码女装,女士针织衫,毛衣套头衫,大码女装+女士针织衫,"(10000,+∞)",16.64,"(100,+∞)",-34.18%,负增长,"(10,30]",2024/7/22,777,非JIT商品,929,0,"Coffee brown,Navy blue,Apricot,Camel,Burgundy,Olive green,Black",7,"2XL,5XL,3XL,0XL,1XL,4XL",6,Spring&Fall,https://p16-oec-eu-common-no.tiktokcdn-eu.com/tos-no1a-i-t5fjg24jzw-no/9c68978bd960405f91bf78c8d9a3c6d1~tplv-t5fjg24jzw-resize-jpeg:1000:1000.image?,https://shop.tiktok.com/view/product/1729422224249884495?region=GB&locale=en,张宇,4.6,65,1,34,2026/9/9
2026/9/7,GB,UK,高动销,1729549610179991877,S250617002423,YouAnnn,非SKM商家,标码女装,女士针织衫,开衫,标码女装+女士针织衫,"(10000,+∞)",25.83,"(100,+∞)",-5.67%,负增长,"(30,50]",2025/6/22,442,非JIT商品,"1,045",0,"Orange,Grey,Black,Lilac,Beige,Khaki,Navy blue,Dark gray,Light wash,Apricot,Brown,Red,Pink",13,"L,XXL,XL,M,S",5,Spring&Fall,https://p16-oec-eu-common-no.tiktokcdn-eu.com/tos-no1a-i-t5fjg24jzw-no/dbaceb244d2546578ed969f117a8b902~tplv-t5fjg24jzw-resize-jpeg:1000:1000.image?,https://shop.tiktok.com/view/product/1729549610179991877?region=GB&locale=en,沈亦莎,4.8,53,0,47,2026/9/9
2026/9/7,GB,UK,高动销,1729652989064616265,S251004020291,XL Sweat,非SKM商家,大码女装,女士针织衫,毛衣开衫,大码女装+女士针织衫,"(1000,2000]",22.48,"(100,+∞)",-31.43%,负增长,"(10,30]",2025/10/13,329,非JIT商品,737,0,"Coffee brown,Hot pink,Khaki,Pink,Blue,Cream,Black",7,"1XL,3XL,5XL,4XL,2XL",5,Spring&Fall,https://p16-oec-eu-common-no.tiktokcdn-eu.com/tos-no1a-i-t5fjg24jzw-no/71e8ea6a0b7c49dab22721d9507344be~tplv-t5fjg24jzw-resize-jpeg:1000:1000.image?,https://shop.tiktok.com/view/product/1729652989064616265?region=GB&locale=en,张宇,4.9,64,0,36,2026/9/9
2026/9/7,GB,UK,高动销,1729421629371944462,S240629004604,YunShine,非SKM商家,标码女装,女士针织衫,毛衣连衣裙,标码女装+女士针织衫,"(10000,+∞)",20.65,"(100,+∞)",13.64%,"(0%, 50%]","(10,30]",2024/7/16,783,非JIT商品,"1,005",0,"Coffee brown,Black,Grey,Navy blue,Khaki,White,Lilac*1 pc+Gray*1 pc,Pink,Fawn brown,Burgundy,Lilac,Yellow,Dark Green*1 pc+Burgundy*1 pc,Khaki*1 pc+Black*1 pc,Dark green",15,"S,L,M,XL",4,Spring&Fall,https://p16-oec-eu-common-no.tiktokcdn-eu.com/tos-no1a-i-t5fjg24jzw-no/8a5627266ad54ca99323beef84910772~tplv-t5fjg24jzw-resize-jpeg:1000:1000.image?,https://shop.tiktok.com/view/product/1729421629371944462?region=GB&locale=en,王可心,4.3,53,0,47,2026/9/9
2026/9/7,GB,UK,高动销,1729676282069555525,S251026033157,YouAnnn,非SKM商家,标码女装,女士针织衫,毛衣套头衫,标码女装+女士针织衫,"(1000,2000]",17.30,"(100,+∞)",-6.78%,负增长,"(10,30]",2025/10/30,312,非JIT商品,318,0,"Apricot,Red,Black,Brown,Cream,Army green",6,"M,XXL,XL,L,S",5,Spring&Fall,https://p16-oec-va.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/43fceb464d1c42ac98cc295866bfd04b~tplv-o3syd03w52-resize-jpeg:1000:1000.image?,https://shop.tiktok.com/view/product/1729676282069555525?region=GB&locale=en,沈亦莎,4.8,62,0,38,2026/9/9
2026/9/7,GB,UK,高动销,1729610643970365769,S250808014899,XL Sweat,非SKM商家,大码女装,女士针织衫,毛衣套头衫,大码女装+女士针织衫,"(2000,5000]",24.82,"(100,+∞)",-35.82%,负增长,"(0,10]",2025/8/17,386,非JIT商品,798,0,"Black,Khaki,Lemon yellow,Coffee brown,Army green,Hot pink,Blue,Gray",8,"3XL,4XL,2XL,5XL,1XL",5,Spring&Fall,https://p16-oec-eu-common-no.tiktokcdn-eu.com/tos-no1a-i-t5fjg24jzw-no/f7da68a4c38d4687b76840f3a5fb667b~tplv-t5fjg24jzw-resize-jpeg:1000:1000.image?,https://shop.tiktok.com/view/product/1729610643970365769?region=GB&locale=en,张宇,4.9,63,0,37,2026/9/9
2026/9/7,GB,UK,高动销,1729632984022751557,S250905020857,YouAnnn,非SKM商家,标码女装,女士针织衫,毛衣套头衫,标码女装+女士针织衫,"(10000,+∞)",18.14,"(100,+∞)",75.00%,"(50%, 100%]","(30,50]",2025/9/12,360,非JIT商品,"6,164",0,"Mauve purple,Leaf green,Apricot,Red,Pink,Beige,Dark gray,Brown,Burgundy,Baby pink,Gray,Rust orange,Lemon yellow",13,"S,M,L,XXL,XL",5,All Seasons,https://p16-oec-eu-common-no.tiktokcdn-eu.com/tos-no1a-i-t5fjg24jzw-no/ee7c8730832a4bd4bf05b0dfd734baec~tplv-t5fjg24jzw-resize-jpeg:1000:1000.image?,https://shop.tiktok.com/view/product/1729632984022751557?region=GB&locale=en,沈亦莎,4.8,55,0,45,2026/9/9
2026/9/7,GB,UK,高动销,1729432980192464619,S241026003981,Bettlity,非SKM商家,标码女装,女士针织衫,毛织裙子套装,标码女装+女士针织衫,"(2000,5000]",30.93,"(100,+∞)",36.84%,"(0%, 50%]","(10,30]",2024/11/8,668,非JIT商品,223,0,"Black,Fawn Brown,Off white,Deep red",4,"XXL,S,L,M,XL",5,Spring&Fall,https://p16-oec-eu-common-no.tiktokcdn-eu.com/tos-no1a-i-t5fjg24jzw-no/55f4abcfbf604b2cb6a95ece398d4970~tplv-t5fjg24jzw-resize-jpeg:1000:1000.image?,https://shop.tiktok.com/view/product/1729432980192464619?region=GB&locale=en,沈亦莎,4.9,66,0,34,2026/9/9
2026/9/7,GB,UK,高动销,1729878629880338958,S260722014955,YunShine,非SKM商家,标码女装,女士针织衫,毛衣套头衫,标码女装+女士针织衫,"(100,500]",21.00,"(50,100]",-9.30%,负增长,"(10,30]",2026/7/23,46,非JIT商品,455,0,"Black,Coffee brown,Khaki,Navy blue",4,"L,M,S,XL",4,Fall&Winter,https://p16-oec-va.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/64b340542cbb43838aebdebca56f6cbf~tplv-o3syd03w52-resize-jpeg:1000:1000.image?,https://shop.tiktok.com/view/product/1729878629880338958?region=GB&locale=en,王可心,4.3,28,8,64,2026/9/9
2026/9/7,GB,UK,高动销,1729568681962609412,S250705012887,SML Sweaters,非SKM商家,标码女装,女士针织衫,开衫,标码女装+女士针织衫,"(500,1000]",18.56,"(50,100]",21.88%,"(0%, 50%]","(0,10]",2025/7/9,425,非JIT商品,238,0,"Gray,Pink,Brown",3,"S,XL,L,M",4,Spring&Fall,https://p16-oec-eu-common-no.tiktokcdn-eu.com/tos-no1a-i-t5fjg24jzw-no/5e7ba6d2e38c4b248635a620be37896b~tplv-t5fjg24jzw-resize-jpeg:1000:1000.image?,https://shop.tiktok.com/view/product/1729568681962609412?region=GB&locale=en,王可心,4.3,24,2,74,2026/9/9
2026/9/7,GB,UK,高动销,1729563371490876139,S250621006794,Bettlity,非SKM商家,标码女装,女士针织衫,毛织长裤套装,标码女装+女士针织衫,"(2000,5000]",34.69,"(50,100]",-43.18%,负增长,"(0,10]",2025/7/4,430,非JIT商品,127,0,Silver,1,"S,M,XL,XXL,L",5,Spring&Fall,https://p16-oec-eu-common-no.tiktokcdn-eu.com/tos-no1a-i-t5fjg24jzw-no/17a6a95692b64584a0eb5d26cbfaf0dd~tplv-t5fjg24jzw-resize-jpeg:1000:1000.image?,https://shop.tiktok.com/view/product/1729563371490876139?region=GB&locale=en,沈亦莎,4.9,52,0,48,2026/9/9
